SEMESTER,UT DAY,UT START TIME,UT END TIME,MJD START TIME,MJD END TIME,PROGRAM,OBSERVER
2000B,09-27,04:00:00.000,16:00:00.000,51814.166666666664,51814.666666666664,052,Turnshek
2000B,09-28,04:00:00.000,16:00:00.000,51815.166666666664,51815.666666666664,052,Turnshek
2000B,09-29,04:00:00.000,16:00:00.000,51816.166666666664,51816.666666666664,052,Turnshek
2000B,09-30,04:00:00.000,16:00:00.000,51817.166666666664,51817.666666666664,058,Marion
2000B,10-01,04:00:00.000,16:00:00.000,51818.166666666664,51818.666666666664,058,Marion
2000B,10-02,04:00:00.000,16:00:00.000,51819.166666666664,51819.666666666664,999,Engineering
2000B,10-03,04:00:00.000,09:59:00.000,51820.166666666664,51820.415972222225,035,Ressler
2000B,10-03,09:59:00.000,16:00:00.000,51820.415972222225,51820.666666666664,009,Orton
2000B,10-04,04:00:00.000,09:59:00.000,51821.166666666664,51821.415972222225,035,Ressler
2000B,10-04,09:59:00.000,16:00:00.000,51821.415972222225,51821.666666666664,009,Orton
2000B,10-05,04:00:00.000,09:59:00.000,51822.166666666664,51822.415972222225,079,Bosh
2000B,10-05,09:59:00.000,16:00:00.000,51822.415972222225,51822.666666666664,023,Poulet
2000B,10-06,04:00:00.000,09:59:00.000,51823.166666666664,51823.415972222225,079,Bosh
2000B,10-06,09:59:00.000,16:00:00.000,51823.415972222225,51823.666666666664,023,Poulet
2000B,10-07,04:00:00.000,09:59:00.000,51824.166666666664,51824.415972222225,079,Bosh
2000B,10-07,09:59:00.000,16:00:00.000,51824.415972222225,51824.666666666664,005,Binzel
2000B,10-08,04:00:00.000,16:00:00.000,51825.166666666664,51825.666666666664,005,Binzel
2000B,10-09,04:00:00.000,12:00:00.000,51826.166666666664,51826.5,005,Binzel
2000B,10-10,04:00:00.000,16:00:00.000,51827.166666666664,51827.666666666664,037,Rodriguez
2000B,10-10,12:00:00.000,16:00:00.000,51827.5,51827.666666666664,008,Beck
2000B,10-11,04:00:00.000,16:00:00.000,51828.166666666664,51828.666666666664,090,Goguen
2000B,10-12,04:00:00.000,16:00:00.000,51829.166666666664,51829.666666666664,037,Rodriguez
2000B,10-13,05:00:00.000,17:00:00.000,51830.208333333336,51830.708333333336,001,Drossart
2000B,10-14,05:00:00.000,17:00:00.000,51831.208333333336,51831.708333333336,001,Drossart
2000B,10-15,05:00:00.000,17:00:00.000,51832.208333333336,51832.708333333336,063,Yanamandra-Fisher
2000B,10-16,05:00:00.000,17:00:00.000,51833.208333333336,51833.708333333336,063,Yanamandra-Fisher
2000B,10-17,04:00:00.000,16:00:00.000,51834.166666666664,51834.666666666664,083,Deming
2000B,10-18,04:00:00.000,16:00:00.000,51835.166666666664,51835.666666666664,053,Spencer
2000B,10-19,04:00:00.000,09:59:00.000,51836.166666666664,51836.415972222225,117,Vacca
2000B,10-19,09:59:00.000,16:00:00.000,51836.415972222225,51836.666666666664,003,Griffith
