SEMESTER,MJD START,MJD END,PROGRAM,PI
2004B,53354.166666666664,53354.415972222225,2004B999,Engineering
2004B,53354.415972222225,53354.666666666664,2004B038,Orton
2004B,53354.666666666664,53354.708333333336,2004B039,Orton
2004B,53355.166666666664,53355.415972222225,2004B999,Engineering
2004B,53355.415972222225,53355.666666666664,2004B038,Orton
2004B,53355.666666666664,53355.708333333336,2004B039,Orton
2004B,53356.166666666664,53356.415972222225,2004B999,Engineering
2004B,53356.415972222225,53356.666666666664,2004B038,Orton
2004B,53356.666666666664,53356.708333333336,2004B039,Orton
2004B,53357.166666666664,53357.415972222225,2004B101,Merline
2004B,53357.415972222225,53357.666666666664,2004B074,Yanamandra-Fisher
2004B,53358.166666666664,53358.415972222225,2004B030,Kilic
2004B,53358.415972222225,53358.666666666664,2004B024,Stallard
2004B,53359.166666666664,53359.415972222225,2004B030,Kilic
2004B,53359.415972222225,53359.666666666664,2004B024,Stallard
2004B,53360.166666666664,53360.415972222225,2004B030,Kilic
2004B,53360.415972222225,53360.666666666664,2004B024,Stallard
2004B,53361.166666666664,53361.415972222225,2004B030,Kilic
2004B,53361.415972222225,53361.666666666664,2004B024,Stallard
2004B,53362.166666666664,53362.415972222225,2004B030,Kilic
2004B,53362.415972222225,53362.666666666664,2004B024,Stallard
2004B,53363.166666666664,53363.415972222225,2004B030,Kilic
2004B,53363.415972222225,53363.666666666664,2004B024,Stallard
2004B,53366.166666666664,53366.666666666664,2004B999,Engineering
2004B,53367.166666666664,53367.415972222225,2004B096,Hora
2004B,53367.415972222225,53367.666666666664,2004B062,Kassis
2004B,53368.166666666664,53368.415972222225,2004B096,Hora
2004B,53368.415972222225,53368.666666666664,2004B062,Kassis
2004B,53369.166666666664,53369.666666666664,2004B014,Tedesco
2004B,53370.166666666664,53370.666666666664,2004B014,Tedesco
2004B,53372.166666666664,53372.666666666664,2004B094,Bauer
2004B,53373.166666666664,53373.666666666664,2004B097,Peterson
2004B,53374.166666666664,53374.666666666664,2004B097,Peterson
2004B,53375.166666666664,53375.666666666664,2004B097,Peterson
2004B,53376.166666666664,53376.666666666664,2004B097,Peterson
2004B,53377.166666666664,53377.375,2004B083,Tokunaga
2004B,53377.375,53377.458333333336,2004B095,Reipurth
2004B,53377.458333333336,53377.666666666664,2004B093,Turnshek
2004B,53378.166666666664,53378.415972222225,2004B083,Tokunaga
2004B,53378.415972222225,53378.666666666664,2004B093,Turnshek
2004B,53379.166666666664,53379.415972222225,2004B045,Bus
2004B,53379.415972222225,53379.666666666664,2004B093,Turnshek
2004B,53380.166666666664,53380.415972222225,2004B045,Bus
2004B,53380.415972222225,53380.666666666664,2004B093,Turnshek
2004B,53381.166666666664,53381.666666666664,2004B040,Richter
2004B,53381.666666666664,53381.833333333336,2004B028,Roe
2004B,53382.166666666664,53382.666666666664,2004B103,Trafton
2004B,53382.666666666664,53382.833333333336,2004B028,Roe
2004B,53383.166666666664,53383.666666666664,2004B040,Richter
2004B,53383.666666666664,53383.833333333336,2004B028,Roe
2004B,53384.166666666664,53384.666666666664,2004B027,Roe
2004B,53385.166666666664,53385.666666666664,2004B007,Harper
2004B,53386.166666666664,53386.666666666664,2004B103,Trafton
2004B,53387.166666666664,53387.666666666664,2004B036,Spencer
2004B,53388.166666666664,53388.666666666664,2004B036,Spencer
2004B,53389.166666666664,53389.666666666664,2004B103,Trafton
2004B,53390.166666666664,53390.666666666664,2004B079,Richter
2004B,53391.166666666664,53391.333333333336,2004B052,Walter
2004B,53391.333333333336,53391.666666666664,2004B068,Leggett
2004B,53392.166666666664,53392.666666666664,2004B068,Leggett
2004B,53393.166666666664,53393.666666666664,2004B068,Leggett
2004B,53394.166666666664,53394.666666666664,2004B095,Reipurth
2004B,53395.166666666664,53395.666666666664,2004B034,Jones
2004B,53396.166666666664,53396.666666666664,2004B034,Jones
2004B,53399.166666666664,53399.666666666664,2004B074,Yanamandra-Fisher
2004B,53400.166666666664,53400.666666666664,2004B074,Yanamandra-Fisher
2005A,53403.041666666664,53403.415972222225,2005A066,DiSanti
2005A,53403.415972222225,53403.666666666664,2005A070,Goldman
2005A,53404.041666666664,53404.415972222225,2005A066,DiSanti
2005A,53404.415972222225,53404.666666666664,2005A070,Goldman
2005A,53405.041666666664,53405.415972222225,2005A066,DiSanti
2005A,53405.415972222225,53405.666666666664,2005A070,Goldman
2005A,53406.166666666664,53406.666666666664,2005A034,Harrison
2005A,53407.166666666664,53407.666666666664,2005A034,Harrison
2005A,53408.166666666664,53408.666666666664,2005A034,Harrison
2005A,53409.166666666664,53409.666666666664,2005A029,Mothe-Diniz
2005A,53410.166666666664,53410.625,2005A029,Mothe-Diniz
2005A,53410.625,53410.666666666664,2005A086,Russell
2005A,53411.166666666664,53411.625,2005A029,Mothe-Diniz
2005A,53411.625,53411.666666666664,2005A086,Russell
2005A,53412.166666666664,53412.415972222225,2005A092,Lubowich
2005A,53412.415972222225,53412.666666666664,2005A078,Trafton
2005A,53413.166666666664,53413.415972222225,2005A092,Lubowich
2005A,53413.415972222225,53413.666666666664,2005A078,Trafton
2005A,53414.166666666664,53414.415972222225,2005A072,Keller
2005A,53414.415972222225,53414.666666666664,2005A078,Trafton
2005A,53415.166666666664,53415.415972222225,2005A072,Keller
2005A,53415.415972222225,53415.666666666664,2005A078,Trafton
2005A,53416.166666666664,53416.415972222225,2005A071,Keller
2005A,53416.415972222225,53416.666666666664,2005A078,Trafton
2005A,53417.166666666664,53417.666666666664,2005A018,Gaidos
2005A,53418.166666666664,53418.666666666664,2005A018,Gaidos
2005A,53419.166666666664,53419.666666666664,2005A018,Gaidos
2005A,53420.083333333336,53420.791666666664,2005A073,Kostiuk
2005A,53421.083333333336,53421.791666666664,2005A073,Kostiuk
2005A,53422.083333333336,53422.791666666664,2005A073,Kostiuk
2005A,53423.083333333336,53423.791666666664,2005A073,Kostiuk
2005A,53424.083333333336,53424.791666666664,2005A073,Kostiuk
2005A,53425.166666666664,53425.415972222225,2005A004,Orton
2005A,53425.415972222225,53425.666666666664,2005A050,Stiavelli
2005A,53426.166666666664,53426.415972222225,2005A004,Orton
2005A,53426.415972222225,53426.666666666664,2005A050,Stiavelli
2005A,53427.166666666664,53427.415972222225,2005A004,Orton
2005A,53427.415972222225,53427.666666666664,2005A050,Stiavelli
2005A,53428.166666666664,53428.415972222225,2005A089,Yanamandra-Fisher
2005A,53428.415972222225,53428.666666666664,2005A077,Sykes
2005A,53429.166666666664,53429.415972222225,2005A089,Yanamandra-Fisher
2005A,53429.415972222225,53429.666666666664,2005A077,Sykes
2005A,53430.166666666664,53430.415972222225,2005A089,Yanamandra-Fisher
2005A,53430.415972222225,53430.666666666664,2005A077,Sykes
2005A,53431.166666666664,53431.415972222225,2005A997,Vacca
2005A,53431.415972222225,53431.666666666664,2005A996,Binzel
2005A,53432.166666666664,53432.666666666664,2005A996,Binzel
2005A,53433.166666666664,53433.666666666664,2005A045,Nagao
2005A,53434.166666666664,53434.666666666664,2005A045,Nagao
2005A,53435.166666666664,53435.583333333336,2005A045,Nagao
2005A,53435.583333333336,53435.666666666664,2005A086,Russell
2005A,53436.166666666664,53436.415972222225,2005A017,Chanover
2005A,53436.415972222225,53436.666666666664,2005A062,Ciardi
2005A,53437.166666666664,53437.415972222225,2005A017,Chanover
2005A,53437.415972222225,53437.666666666664,2005A047,Thomas
2005A,53438.166666666664,53438.415972222225,2005A017,Chanover
2005A,53438.415972222225,53438.666666666664,2005A047,Thomas
2005A,53439.166666666664,53439.415972222225,2005A017,Chanover
2005A,53439.415972222225,53439.666666666664,2005A013,Binzel
2005A,53440.166666666664,53440.583333333336,2005A038,Bus
2005A,53440.583333333336,53440.666666666664,2005A086,Russell
2005A,53441.166666666664,53441.415972222225,2005A070,Goldman
2005A,53441.415972222225,53441.666666666664,2005A050,Stiavelli
2005A,53442.166666666664,53442.415972222225,2005A070,Goldman
2005A,53442.415972222225,53442.666666666664,2005A050,Stiavelli
2005A,53443.166666666664,53443.415972222225,2005A070,Goldman
2005A,53443.415972222225,53443.666666666664,2005A050,Stiavelli
2005A,53444.166666666664,53444.395833333336,2005A051,Clark
2005A,53444.395833333336,53444.4375,2005A079,Wong
2005A,53444.4375,53444.604166666664,2005A051,Clark
2005A,53444.604166666664,53444.625,2005A079,Wong
2005A,53444.625,53444.666666666664,2005A051,Clark
2005A,53445.166666666664,53445.666666666664,2005A051,Clark
2005A,53447.166666666664,53447.415972222225,2005A899,Chanover
2005A,53447.415972222225,53447.666666666664,2005A898,Van
2005A,53448.166666666664,53448.666666666664,2005A899,Chanover
2005A,53449.166666666664,53449.666666666664,2005A897,Jackson
2005A,53450.166666666664,53450.666666666664,2005A897,Jackson
2005A,53451.166666666664,53451.666666666664,2005A897,Jackson
2005A,53452.166666666664,53452.333333333336,2005A026,Cruz
2005A,53452.333333333336,53452.375,2005A040,Gerardy
2005A,53452.375,53452.666666666664,2005A026,Cruz
2005A,53453.166666666664,53453.479166666664,2005A026,Cruz
2005A,53453.479166666664,53453.541666666664,2005A079,Wong
2005A,53453.541666666664,53453.666666666664,2005A026,Cruz
2005A,53454.166666666664,53454.395833333336,2005A002,Jones
2005A,53454.395833333336,53454.4375,2005A079,Wong
2005A,53454.4375,53454.604166666664,2005A002,Jones
2005A,53454.604166666664,53454.625,2005A079,Wong
2005A,53454.625,53454.666666666664,2005A002,Jones
2005A,53455.166666666664,53455.666666666664,2005A002,Jones
2005A,53456.166666666664,53456.666666666664,2005A054,Brotherton
2005A,53457.166666666664,53457.354166666664,2005A054,Brotherton
2005A,53457.354166666664,53457.395833333336,2005A079,Wong
2005A,53457.395833333336,53457.5625,2005A054,Brotherton
2005A,53457.5625,53457.583333333336,2005A079,Wong
2005A,53457.583333333336,53457.666666666664,2005A054,Brotherton
2005A,53458.166666666664,53458.666666666664,2005A054,Brotherton
2005A,53459.166666666664,53459.354166666664,2005A054,Brotherton
2005A,53459.354166666664,53459.395833333336,2005A079,Wong
2005A,53459.395833333336,53459.5625,2005A054,Brotherton
2005A,53459.5625,53459.583333333336,2005A079,Wong
2005A,53459.583333333336,53459.666666666664,2005A054,Brotherton
2005A,53460.083333333336,53460.375,2005A033,Stallard
2005A,53460.375,53460.666666666664,2005A090,Stockton
2005A,53461.083333333336,53461.375,2005A033,Stallard
2005A,53461.375,53461.4375,2005A079,Wong
2005A,53461.4375,53461.666666666664,2005A090,Stockton
2005A,53462.083333333336,53462.375,2005A033,Stallard
2005A,53462.375,53462.4375,2005A079,Wong
2005A,53462.4375,53462.666666666664,2005A090,Stockton
2005A,53463.083333333336,53463.375,2005A033,Stallard
2005A,53463.375,53463.666666666664,2005A090,Stockton
2005A,53464.083333333336,53464.375,2005A033,Stallard
2005A,53464.375,53464.666666666664,2005A090,Stockton
2005A,53465.166666666664,53465.666666666664,2005A012,Vernazza
2005A,53466.166666666664,53466.666666666664,2005A020,Leggett
2005A,53467.166666666664,53467.666666666664,2005A020,Leggett
2005A,53468.166666666664,53468.666666666664,2005A020,Leggett
2005A,53469.083333333336,53469.375,2005A033,Stallard
2005A,53469.375,53469.666666666664,2005A038,Bus
2005A,53470.083333333336,53470.375,2005A033,Stallard
2005A,53470.375,53470.4375,2005A079,Wong
2005A,53470.4375,53470.666666666664,2005A038,Bus
2005A,53471.083333333336,53471.375,2005A033,Stallard
2005A,53471.375,53471.4375,2005A079,Wong
2005A,53471.4375,53471.666666666664,2005A015,Tokunaga
2005A,53472.083333333336,53472.375,2005A033,Stallard
2005A,53472.375,53472.666666666664,2005A015,Tokunaga
2005A,53473.083333333336,53473.375,2005A033,Stallard
2005A,53473.375,53473.666666666664,2005A062,Ciardi
2005A,53474.083333333336,53474.375,2005A033,Stallard
2005A,53474.375,53474.666666666664,2005A009,Lacy
2005A,53475.083333333336,53475.375,2005A033,Stallard
2005A,53475.375,53475.666666666664,2005A067,Grundy
2005A,53476.083333333336,53476.375,2005A033,Stallard
2005A,53476.375,53476.666666666664,2005A067,Grundy
2005A,53477.083333333336,53477.375,2005A033,Stallard
2005A,53477.375,53477.541666666664,2005A015,Tokunaga
2005A,53477.541666666664,53477.666666666664,2005A086,Russell
2005A,53478.083333333336,53478.375,2005A033,Stallard
2005A,53478.375,53478.541666666664,2005A015,Tokunaga
2005A,53478.541666666664,53478.666666666664,2005A086,Russell
2005A,53479.166666666664,53479.666666666664,2005A008,Hardersen
2005A,53480.166666666664,53480.666666666664,2005A008,Hardersen
2005A,53481.166666666664,53481.666666666664,2005A008,Hardersen
2005A,53482.166666666664,53482.666666666664,2005A995,Bus
2005A,53483.166666666664,53483.666666666664,2005A995,Bus
2005A,53484.166666666664,53484.375,2005A006,Volquardsen
2005A,53484.375,53484.666666666664,2005A995,Bus
2005A,53485.166666666664,53485.375,2005A006,Volquardsen
2005A,53485.375,53485.666666666664,2005A995,Bus
2005A,53486.166666666664,53486.375,2005A006,Volquardsen
2005A,53486.375,53486.458333333336,2005A994,Price
2005A,53486.458333333336,53486.666666666664,2005A995,Bus
2005A,53487.166666666664,53487.415972222225,2005A001,Imanishi
2005A,53487.415972222225,53487.666666666664,2005A993,Cushing
2005A,53488.166666666664,53488.415972222225,2005A001,Imanishi
2005A,53488.415972222225,53488.666666666664,2005A993,Cushing
2005A,53489.166666666664,53489.415972222225,2005A001,Imanishi
2005A,53489.415972222225,53489.666666666664,2005A993,Cushing
2005A,53490.166666666664,53490.415972222225,2005A044,Mueller
2005A,53490.415972222225,53490.666666666664,2005A001,Imanishi
2005A,53491.166666666664,53491.415972222225,2005A044,Mueller
2005A,53491.415972222225,53491.666666666664,2005A001,Imanishi
2005A,53491.75,53491.958333333336,2005A063,Sprague
2005A,53492.166666666664,53492.291666666664,2005A089,Yanamandra-Fisher
2005A,53492.291666666664,53492.666666666664,2005A077,Sykes
2005A,53492.75,53492.958333333336,2005A063,Sprague
2005A,53493.166666666664,53493.291666666664,2005A089,Yanamandra-Fisher
2005A,53493.291666666664,53493.666666666664,2005A077,Sykes
2005A,53493.75,53493.958333333336,2005A063,Sprague
2005A,53494.041666666664,53494.291666666664,2005A004,Orton
2005A,53494.291666666664,53494.666666666664,2005A077,Sykes
2005A,53494.75,53494.958333333336,2005A063,Sprague
2005A,53495.041666666664,53495.291666666664,2005A004,Orton
2005A,53495.291666666664,53495.666666666664,2005A003,Tedesco
2005A,53495.75,53495.958333333336,2005A063,Sprague
2005A,53496.041666666664,53496.291666666664,2005A004,Orton
2005A,53496.291666666664,53496.666666666664,2005A003,Tedesco
2005A,53496.75,53496.958333333336,2005A063,Sprague
2005A,53497.041666666664,53497.291666666664,2005A004,Orton
2005A,53497.291666666664,53497.666666666664,2005A003,Tedesco
2005A,53498.166666666664,53498.415972222225,2005A044,Mueller
2005A,53498.415972222225,53498.666666666664,2005A003,Tedesco
2005A,53499.166666666664,53499.415972222225,2005A044,Mueller
2005A,53499.415972222225,53499.666666666664,2005A067,Grundy
2005A,53500.166666666664,53500.291666666664,2005A013,Binzel
2005A,53500.291666666664,53500.333333333336,2005A069,Rathbun
2005A,53500.333333333336,53500.666666666664,2005A013,Binzel
2005A,53501.166666666664,53501.666666666664,2005A047,Thomas
2005A,53502.166666666664,53502.666666666664,2005A019,Kilic
2005A,53503.166666666664,53503.666666666664,2005A019,Kilic
2005A,53504.166666666664,53504.333333333336,2005A032,Rodriguez
2005A,53504.333333333336,53504.666666666664,2005A019,Kilic
2005A,53505.166666666664,53505.333333333336,2005A032,Rodriguez
2005A,53505.333333333336,53505.666666666664,2005A019,Kilic
2005A,53506.166666666664,53506.333333333336,2005A032,Rodriguez
2005A,53506.333333333336,53506.666666666664,2005A019,Kilic
2005A,53507.166666666664,53507.666666666664,2005A049,Rivkin
2005A,53508.166666666664,53508.666666666664,2005A049,Rivkin
2005A,53509.166666666664,53509.666666666664,2005A049,Rivkin
2005A,53510.166666666664,53510.666666666664,2005A992,Rayner
2005A,53511.166666666664,53511.666666666664,2005A991,Jackson
2005A,53512.166666666664,53512.666666666664,2005A991,Jackson
2005A,53512.958333333336,53512.333333333336,2005A004,Orton
2005A,53513.333333333336,53513.666666666664,2005A067,Grundy
2005A,53513.958333333336,53513.333333333336,2005A004,Orton
2005A,53514.333333333336,53514.666666666664,2005A067,Grundy
2005A,53514.958333333336,53514.25,2005A004,Orton
2005A,53515.25,53515.666666666664,2005A062,Ciardi
2005A,53516.166666666664,53516.541666666664,2005A055,Chiar
2005A,53516.541666666664,53516.875,2005A058,Mumma
2005A,53517.166666666664,53517.541666666664,2005A055,Chiar
2005A,53517.541666666664,53517.875,2005A058,Mumma
2005A,53518.166666666664,53518.541666666664,2005A055,Chiar
2005A,53518.541666666664,53518.875,2005A058,Mumma
2005A,53519.166666666664,53519.541666666664,2005A055,Chiar
2005A,53519.541666666664,53519.875,2005A058,Mumma
2005A,53520.166666666664,53520.666666666664,2005A038,Bus
2005A,53521.125,53521.166666666664,2005A069,Rathbun
2005A,53521.166666666664,53521.666666666664,2005A038,Bus
2005A,53522.166666666664,53522.541666666664,2005A995,Bus
2005A,53522.541666666664,53522.875,2005A030,Novak
2005A,53523.166666666664,53523.291666666664,2005A990,Turnshek
2005A,53523.291666666664,53523.333333333336,2005A069,Rathbun
2005A,53523.333333333336,53523.541666666664,2005A990,Turnshek
2005A,53523.541666666664,53523.875,2005A030,Novak
2005A,53524.166666666664,53524.541666666664,2005A990,Turnshek
2005A,53524.541666666664,53524.875,2005A030,Novak
2005A,53525.166666666664,53525.666666666664,2005A061,Turnshek
2005A,53526.166666666664,53526.666666666664,2005A061,Turnshek
2005A,53527.166666666664,53527.666666666664,2005A061,Turnshek
2005A,53528.166666666664,53528.666666666664,2005A061,Turnshek
2005A,53529.166666666664,53529.415972222225,2005A011,Sitko
2005A,53529.415972222225,53529.541666666664,2005A086,Russell
2005A,53529.541666666664,53529.666666666664,2005A011,Sitko
2005A,53530.166666666664,53530.415972222225,2005A011,Sitko
2005A,53530.415972222225,53530.541666666664,2005A086,Russell
2005A,53530.541666666664,53530.666666666664,2005A011,Sitko
2005A,53531.166666666664,53531.666666666664,2005A013,Binzel
2005A,53531.916666666664,53531.166666666664,2005A089,Yanamandra-Fisher
2005A,53532.166666666664,53532.666666666664,2005A003,Tedesco
2005A,53532.916666666664,53532.166666666664,2005A004,Orton
2005A,53533.166666666664,53533.666666666664,2005A003,Tedesco
2005A,53533.916666666664,53533.166666666664,2005A004,Orton
2005A,53534.166666666664,53534.666666666664,2005A003,Tedesco
2005A,53534.916666666664,53534.166666666664,2005A004,Orton
2005A,53535.166666666664,53535.666666666664,2005A041,Hanson
2005A,53536.166666666664,53536.666666666664,2005A041,Hanson
2005A,53537.166666666664,53537.666666666664,2005A016,Luhman
2005A,53538.166666666664,53538.666666666664,2005A016,Luhman
2005A,53539.166666666664,53539.666666666664,2005A093,Merline
2005A,53540.166666666664,53540.666666666664,2005A093,Merline
2005A,53541.166666666664,53541.666666666664,2005A060,Stalder
2005A,53542.166666666664,53542.666666666664,2005A060,Stalder
2005A,53543.166666666664,53543.666666666664,2005A060,Stalder
2005A,53544.166666666664,53544.666666666664,2005A992,Rayner
2005A,53545.166666666664,53545.415972222225,2005A991,Kelley
2005A,53545.415972222225,53545.666666666664,2005A992,Rayner
2005A,53546.166666666664,53546.291666666664,2005A991,Kelley
2005A,53546.291666666664,53546.333333333336,2005A069,Rathbun
2005A,53546.333333333336,53546.666666666664,2005A991,Kelley
2005A,53547.166666666664,53547.415972222225,2005A053,Kelley
2005A,53547.415972222225,53547.666666666664,2005A991,Kelley
2005A,53548.166666666664,53548.415972222225,2005A053,Kelley
2005A,53548.415972222225,53548.666666666664,2005A991,Kelley
2005A,53549.166666666664,53549.415972222225,2005A065,Dello
2005A,53549.415972222225,53549.666666666664,2005A062,Ciardi
2005A,53550.166666666664,53550.666666666664,2005A088,Wooden
2005A,53551.166666666664,53551.666666666664,2005A088,Wooden
2005A,53552.083333333336,53552.229166666664,2005A080,Wooden
2005A,53552.229166666664,53552.415972222225,2005A074,Lisse
2005A,53552.415972222225,53552.666666666664,2005A039,Eikenberry
2005A,53553.083333333336,53553.229166666664,2005A080,Wooden
2005A,53553.229166666664,53553.415972222225,2005A074,Lisse
2005A,53553.415972222225,53553.666666666664,2005A039,Eikenberry
2005A,53554.083333333336,53554.229166666664,2005A080,Wooden
2005A,53554.229166666664,53554.415972222225,2005A074,Lisse
2005A,53554.415972222225,53554.666666666664,2005A039,Eikenberry
2005A,53555.166666666664,53555.415972222225,2005A074,Lisse
2005A,53555.415972222225,53555.666666666664,2005A043,Young
2005A,53556.083333333336,53556.25,2005A088,Wooden
2005A,53556.25,53556.291666666664,2005A074,Lisse
2005A,53556.291666666664,53556.666666666664,2005A088,Wooden
2005A,53557.083333333336,53557.25,2005A088,Wooden
2005A,53557.25,53557.291666666664,2005A074,Lisse
2005A,53557.291666666664,53557.666666666664,2005A088,Wooden
2005A,53558.083333333336,53558.208333333336,2005A080,Wooden
2005A,53558.208333333336,53558.415972222225,2005A074,Lisse
2005A,53558.415972222225,53558.666666666664,2005A003,Tedesco
2005A,53559.083333333336,53559.208333333336,2005A080,Wooden
2005A,53559.208333333336,53559.415972222225,2005A074,Lisse
2005A,53559.208333333336,53559.415972222225,2005A065,Dello
2005A,53559.415972222225,53559.666666666664,2005A003,Tedesco
2005A,53559.415972222225,53559.666666666664,2005A015,Tokunaga
2005A,53559.415972222225,53559.666666666664,2005A007,Krasnopolsky
2005A,53559.415972222225,53559.666666666664,2005A007,Krasnopolsky
2005A,53563.166666666664,53563.375,2005A065,Dello
2005A,53563.208333333336,53563.375,2005A065,Dello
2005A,53563.375,53563.666666666664,2005A015,Tokunaga
2005A,53563.375,53563.666666666664,2005A062,Ciardi
2005A,53565.166666666664,53565.666666666664,2005A038,Bus
2005A,53566.166666666664,53566.415972222225,2005A086,Russell
2005A,53566.415972222225,53566.666666666664,2005A038,Bus
2005A,53567.125,53567.166666666664,2005A069,Rathbun
2005A,53567.166666666664,53567.415972222225,2005A086,Russell
2005A,53567.375,53567.666666666664,2005A057,Meixner
2005A,53567.375,53567.666666666664,2005A057,Meixner
2005A,53567.415972222225,53567.666666666664,2005A038,Bus
2005A,53570.166666666664,53570.666666666664,2005A057,Meixner
2005A,53571.166666666664,53571.666666666664,2005A057,Meixner
2005A,53572.166666666664,53572.666666666664,2005A082,Tollestrup
2005A,53573.166666666664,53573.666666666664,2005A082,Tollestrup
2005A,53574.166666666664,53574.666666666664,2005A082,Tollestrup
2005A,53575.166666666664,53575.666666666664,2005A082,Tollestrup
2005A,53576.166666666664,53576.666666666664,2005A082,Tollestrup
2005A,53577.166666666664,53577.666666666664,2005A011,Sitko
2005A,53578.166666666664,53578.666666666664,2005A011,Sitko
2005A,53579.166666666664,53579.666666666664,2005A998,Jackson
2005A,53580.166666666664,53580.666666666664,2005A998,Jackson
2005A,53581.166666666664,53581.666666666664,2005A035,Abell
2005A,53582.166666666664,53582.666666666664,2005A035,Abell
2005A,53583.166666666664,53583.375,2005A035,Abell
2005A,53583.458333333336,53583.666666666664,2005A035,Abell
2005B,53584.166666666664,53584.666666666664,2005B998,Jackson
2005B,53585.166666666664,53585.666666666664,2005B998,Jackson
2005B,53586.166666666664,53586.375,2005B098,Retherford
2005B,53586.458333333336,53586.666666666664,2005B107,Volquardsen
2005B,53587.166666666664,53587.375,2005B098,Retherford
2005B,53587.375,53587.666666666664,2005B107,Volquardsen
2005B,53588.166666666664,53588.375,2005B098,Retherford
2005B,53588.375,53588.666666666664,2005B107,Volquardsen
2005B,53589.166666666664,53589.666666666664,2005B103,Tollestrup
2005B,53590.166666666664,53590.666666666664,2005B103,Tollestrup
2005B,53591.166666666664,53591.666666666664,2005B103,Tollestrup
2005B,53592.166666666664,53592.666666666664,2005B022,Burgasser
2005B,53593.166666666664,53593.666666666664,2005B033,Leggett
2005B,53594.166666666664,53594.666666666664,2005B033,Leggett
2005B,53595.166666666664,53595.666666666664,2005B033,Leggett
2005B,53596.166666666664,53596.666666666664,2005B033,Leggett
2005B,53597.166666666664,53597.415972222225,2005B063,Walter
2005B,53597.415972222225,53597.666666666664,2005B013,Shang
2005B,53598.166666666664,53598.415972222225,2005B063,Walter
2005B,53598.415972222225,53598.666666666664,2005B013,Shang
2005B,53599.166666666664,53599.415972222225,2005B063,Walter
2005B,53599.415972222225,53599.666666666664,2005B013,Shang
2005B,53600.166666666664,53600.415972222225,2005B063,Walter
2005B,53600.415972222225,53600.666666666664,2005B064,Walter
2005B,53601.166666666664,53601.666666666664,2005B009,Hardersen
2005B,53602.166666666664,53602.666666666664,2005B009,Hardersen
2005B,53603.166666666664,53603.666666666664,2005B009,Hardersen
2005B,53603.415972222225,53603.666666666664,2005B106,van
2005B,53603.415972222225,53603.666666666664,2005B106,van
2005B,53606.166666666664,53606.666666666664,2005B999,Engineering
2005B,53607.166666666664,53607.666666666664,2005B999,Engineering
2005B,53608.166666666664,53608.666666666664,2005B999,Engineering
2005B,53609.166666666664,53609.666666666664,2005B084,Gaidos
2005B,53610.166666666664,53610.666666666664,2005B084,Gaidos
2005B,53611.166666666664,53611.666666666664,2005B084,Gaidos
2005B,53612.166666666664,53612.666666666664,2005B045,Gordon
2005B,53613.166666666664,53613.666666666664,2005B045,Gordon
2005B,53614.166666666664,53614.666666666664,2005B011,Campbell
2005B,53615.166666666664,53615.666666666664,2005B011,Campbell
2005B,53616.166666666664,53616.666666666664,2005B011,Campbell
2005B,53617.166666666664,53617.666666666664,2005B016,Binzel
2005B,53618.166666666664,53618.666666666664,2005B016,Binzel
2005B,53619.166666666664,53619.666666666664,2005B058,Reipurth
2005B,53620.166666666664,53620.666666666664,2005B021,Burgasser
2005B,53621.166666666664,53621.666666666664,2005B032,Kirkpatrick
2005B,53622.166666666664,53622.666666666664,2005B032,Kirkpatrick
2005B,53623.166666666664,53623.666666666664,2005B004,Hanson
2005B,53624.166666666664,53624.666666666664,2005B004,Hanson
2005B,53625.166666666664,53625.666666666664,2005B090,Kakazu
2005B,53626.166666666664,53626.666666666664,2005B090,Kakazu
2005B,53627.166666666664,53627.666666666664,2005B999,Engineering
2005B,53628.166666666664,53628.666666666664,2005B999,Engineering
2005B,53629.166666666664,53629.666666666664,2005B999,Engineering
2005B,53630.166666666664,53630.666666666664,2005B028,Clark
2005B,53631.166666666664,53631.25,2005B028,Clark
2005B,53631.25,53631.5,2005B087,Grundy
2005B,53631.5,53631.666666666664,2005B028,Clark
2005B,53632.166666666664,53632.291666666664,2005B028,Clark
2005B,53632.375,53632.666666666664,2005B028,Clark
2005B,53633.166666666664,53633.666666666664,2005B028,Clark
2005B,53634.166666666664,53634.666666666664,2005B038,Rivkin
2005B,53635.166666666664,53635.415972222225,2005B038,Rivkin
2005B,53635.415972222225,53635.666666666664,2005B106,van
2005B,53636.166666666664,53636.415972222225,2005B038,Rivkin
2005B,53636.415972222225,53636.666666666664,2005B083,Connelley
2005B,53637.166666666664,53637.666666666664,2005B083,Connelley
2005B,53639.166666666664,53639.666666666664,2005B042,Bjorkman
2005B,53640.166666666664,53640.5625,2005B012,Tedesco
2005B,53640.5625,53640.666666666664,2005B058,Reipurth
2005B,53641.166666666664,53641.666666666664,2005B012,Tedesco
2005B,53642.166666666664,53642.666666666664,2005B012,Tedesco
2005B,53643.166666666664,53643.415972222225,2005B041,Pendleton
2005B,53643.415972222225,53643.666666666664,2005B015,Bender
2005B,53644.166666666664,53644.415972222225,2005B041,Pendleton
2005B,53644.415972222225,53644.666666666664,2005B015,Bender
2005B,53645.166666666664,53645.415972222225,2005B041,Pendleton
2005B,53645.415972222225,53645.666666666664,2005B015,Bender
2005B,53646.166666666664,53646.415972222225,2005B041,Pendleton
2005B,53646.415972222225,53646.666666666664,2005B015,Bender
2005B,53647.166666666664,53647.415972222225,2005B997,Bus
