SEMESTER,MJD START,MJD END,PI,PROGRAM
2000B,51858.16667,51858.66667,Wilking,2000B098
2000B,51858.5,51858.66667,Beck,2000B008
2000B,51859.16667,51859.66667,Wilking,2000B098
2000B,51860.16667,51860.66667,Wilking,2000B098
2000B,51861.16667,51861.66667,Wilking,2000B098
2000B,51862.16667,51862.66667,Greene,2000B104
2000B,51863.16667,51863.66667,Greene,2000B104
2000B,51864.16667,51864.66667,Greene,2000B104
2000B,51865.16667,51865.66667,Prato,2000B048
2000B,51866.16667,51866.66667,Prato,2000B048
2000B,51867.16667,51867.66667,Prato,2000B048
2000B,51868.16667,51868.66667,Poulet,2000B023
2000B,51869.16667,51869.66667,Poulet,2000B023
2000B,51870.16667,51870.66667,Becklin,2000B113
2000B,51871.16667,51871.66667,Becklin,2000B113
2000B,51872.16667,51872.66667,Becklin,2000B113
2000B,51873.16667,51873.66667,Becklin,2000B113
2000B,51874.16667,51874.66667,Engineering,2000B999
2000B,51875.16667,51875.66667,Lacy,2000B046
2000B,51876.16667,51876.66667,Dinerstein,2000B084
2000B,51877.16667,51877.66667,Dinerstein,2000B084
2000B,51878.16667,51878.66667,Richter,2000B057
2000B,51879.16667,51879.66667,Richter,2000B057
2000B,51880.16667,51880.66667,Bezard,2000B029
2000B,51881.16667,51881.66667,Bezard,2000B029
2000B,51882.16667,51882.66667,Engineering,2000B999
2000B,51883.25,51883.83333,Kostiuk,2000B013
2000B,51884.25,51884.83333,Kostiuk,2000B013
2000B,51885.25,51885.83333,Kostiuk,2000B013
2000B,51886.16667,51886.41597,Goguen,2000B119
2000B,51886.41597,51886.66667,Engineering,2000B999
2000B,51887.16667,51887.41597,Goguen,2000B119
2000B,51887.41597,51887.66667,Engineering,2000B999
2000B,51888.16667,51888.41597,Goguen,2000B119
2000B,51888.41597,51888.66667,Engineering,2000B999
2000B,51889.16667,51889.41597,Goguen,2000B119
2000B,51889.41597,51889.58333,Beck,2000B008
2000B,51890.16667,51890.39583,Goguen,2000B119
2000B,51890.39583,51890.625,Spencer,2000B054
2000B,51891.08333,51891.58333,Harrington,2000B038
2000B,51892.08333,51892.58333,Harrington,2000B038
2000B,51893.16667,51893.66667,Connerney,2000B006
2000B,51894.16667,51894.66667,Osip,2000B050
2000B,51895.16667,51895.66667,Connerney,2000B006
2000B,51896.16667,51896.66667,Connerney,2000B006
2000B,51897.08333,51897.58333,Harrington,2000B038
2000B,51898.08333,51898.58333,Harrington,2000B038
2000B,51899.08333,51899.58333,Bjoraker,2000B096
2000B,51900.08333,51900.58333,Bjoraker,2000B096
2000B,51901.08333,51901.25,Spencer,2000B054
2000B,51901.25,51901.66667,Goto,2000B028
2000B,51904.25,51904.75,Lisse,2000B062
2000B,51905.25,51905.75,Lisse,2000B062
2000B,51906.125,51906.3125,Orton,2000B009
2000B,51906.3125,51906.54167,Spencer,2000B054
2000B,51906.54167,51906.625,Orton,2000B009
2000B,51907.125,51907.625,Orton,2000B009
2000B,51908.16667,51908.66667,Ressler,2000B035
2000B,51910.16667,51910.66667,Ressler,2000B035
2000B,51911.16667,51911.66667,Ressler,2000B035
2000B,51912.08333,51912.58333,Harrington,2000B038
2000B,51913.08333,51913.58333,Harrington,2000B038
2000B,51914.16667,51914.66667,Muzerolle,2000B045
2000B,51915.16667,51915.66667,Muzerolle,2000B045
2000B,51916.16667,51916.66667,Connerney,2000B006
2000B,51917,51917.16667,Spencer,2000B054
2000B,51917.16667,51917.66667,Walter,2000B019
2000B,51918.16667,51918.66667,Walter,2000B019
2000B,51919.16667,51919.66667,Connerney,2000B006
2000B,51920.16667,51920.66667,Walter,2000B019
2000B,51921.16667,51921.66667,Connerney,2000B006
2000B,51921.66667,51921.91667,Novak,2000B097
2000B,51922.16667,51922.60417,Walter,2000B019
2000B,51922.66667,51922.91667,Novak,2000B097
2000B,51923.29167,51923.45833,Beck,2000B008
2000B,51923.60417,51923.91667,Novak,2000B097
