SEMESTER,MJD START,MJD END,PI,PROGRAM
2006B,54077.64583,54077.66667,Schaller,2006B046
2006B,54078.16667,54078.41597,Sitko,2006B015
2006B,54078.41597,54078.64583,Volquardsen,2006B069
2006B,54078.64583,54078.66667,Schaller,2006B046
2006B,54079.16667,54079.41597,Sitko,2006B015
2006B,54079.41597,54079.64583,Volquardsen,2006B069
2006B,54079.64583,54079.66667,Schaller,2006B046
2006B,54080.16667,54080.41597,Sitko,2006B015
2006B,54080.41597,54080.64583,Volquardsen,2006B069
2006B,54080.64583,54080.66667,Schaller,2006B046
2006B,54081.16667,54081.41597,Verner,2006B037
2006B,54081.41597,54081.64583,Chanover,2006B071
2006B,54081.64583,54081.66667,Schaller,2006B046
2006B,54082.16667,54082.41597,Verner,2006B037
2006B,54082.41597,54082.64583,Chanover,2006B071
2006B,54082.64583,54082.66667,Schaller,2006B046
2006B,54083.16667,54083.41597,Verner,2006B037
2006B,54083.41597,54083.66667,Chanover,2006B071
2006B,54083.64583,54083.66667,Schaller,2006B046
2006B,54084.16667,54084.41597,Verner,2006B037
2006B,54084.41597,54084.66667,Chanover,2006B071
2006B,54085.16667,54085.41597,Verner,2006B037
2006B,54085.41597,54085.64583,Shepard,2006B017
2006B,54086.16667,54086.41597,Verner,2006B037
2006B,54086.41597,54086.64583,Shepard,2006B017
2006B,54086.64583,54086.66667,Schaller,2006B046
2006B,54087.16667,54087.41597,Allers,2006B988
2006B,54087.41597,54087.64583,Shepard,2006B017
2006B,54087.64583,54087.66667,Schaller,2006B046
2006B,54088.16667,54088.64583,Looper,2006B020
2006B,54088.64583,54088.66667,Schaller,2006B046
2006B,54089.16667,54089.41597,Engineering,2006B999
2006B,54089.41597,54089.64583,Looper,2006B020
2006B,54089.64583,54089.66667,Schaller,2006B046
2006B,54090.16667,54090.64583,Tokunaga,2006B005
2006B,54090.64583,54090.66667,Schaller,2006B046
2006B,54091.16667,54091.64583,Burgasser,2006B058
2006B,54091.64583,54091.66667,Schaller,2006B046
2006B,54092.16667,54092.43056,Walter,2006B030
2006B,54092.64583,54092.66667,Schaller,2006B046
2006B,54093.43056,54093.64583,Burgasser,2006B058
2006B,54093.64583,54093.66667,Schaller,2006B046
2006B,54095.16667,54095.64583,Megeath,2006B075
2006B,54096.16667,54096.64583,Megeath,2006B075
2006B,54096.64583,54096.66667,Schaller,2006B046
2006B,54097.16667,54097.27083,Megeath,2006B075
2006B,54097.27083,54097.47917,Lacy,2006B013
2006B,54097.64583,54097.66667,Schaller,2006B046
2006B,54098.16667,54098.64583,Megeath,2006B075
2006B,54098.47917,54098.64583,Megeath,2006B075
2006B,54098.64583,54098.66667,Schaller,2006B046
2006B,54099.16667,54099.64583,Smith,2006B064
2006B,54099.64583,54099.66667,Schaller,2006B046
2006B,54100.64583,54100.66667,Schaller,2006B046
2006B,54101.16667,54101.64583,Smith,2006B064
2006B,54102.16667,54102.66667,McGehee,2006B045
2006B,54102.64583,54102.66667,Schaller,2006B046
2006B,54103.16667,54103.64583,Cruz,2006B051
2006B,54103.71875,54103.80208,Spencer,2006B068
2006B,54104.16667,54104.64583,Cruz,2006B051
2006B,54104.64583,54104.66667,Schaller,2006B046
2006B,54105.16667,54105.64583,Gaffey,2006B062
2006B,54105.64583,54105.66667,Schaller,2006B046
2006B,54106.16667,54106.64583,Gaffey,2006B062
2006B,54106.64583,54106.66667,Schaller,2006B046
2006B,54107.16667,54107.64583,Gaffey,2006B062
2006B,54107.64583,54107.66667,Schaller,2006B046
2006B,54108.16667,54108.41597,Kassis,2006B049
2006B,54108.41597,54108.66667,Yanamandra-Fisher,2006B066
2006B,54108.64583,54108.66667,Schaller,2006B046
2006B,54109.16667,54109.41597,Kassis,2006B049
2006B,54109.41597,54109.66667,Yanamandra-Fisher,2006B066
2006B,54109.66667,54109.83333,Orton,2006B028
2006B,54110.16667,54110.375,Walter,2006B030
2006B,54110.375,54110.66667,Yanamandra-Fisher,2006B066
2006B,54110.8125,54110.89583,Spencer,2006B068
2006B,54111.16667,54111.64583,Bernardi,2006B059
2006B,54111.66667,54111.83333,Orton,2006B028
2006B,54112.16667,54112.64583,Bernardi,2006B059
2006B,54112.64583,54112.66667,Schaller,2006B046
2006B,54112.66667,54112.83333,Orton,2006B028
2006B,54113.16667,54113.41597,Campbell,2006B001
2006B,54113.41597,54113.64583,Chanover,2006B071
2006B,54113.64583,54113.66667,Schaller,2006B046
2006B,54114.16667,54114.41597,Campbell,2006B001
2006B,54114.41597,54114.64583,Chanover,2006B071
2006B,54114.64583,54114.66667,Schaller,2006B046
2006B,54115.16667,54115.39583,Campbell,2006B001
2006B,54115.39583,54115.41597,Schaller,2006B046
2006B,54115.41597,54115.66667,Chanover,2006B071
2006B,54115.64583,54115.66667,Schaller,2006B046
2006B,54116.16667,54116.39583,Campbell,2006B001
2006B,54116.39583,54116.41597,Schaller,2006B046
2006B,54116.41597,54116.66667,Chanover,2006B071
2006B,54117.16667,54117.41597,Engineering,2006B999
2006B,54117.41597,54117.625,Trafton,2006B079
2006B,54118.16667,54118.41597,Engineering,2006B999
2006B,54118.41597,54118.625,Trafton,2006B079
2006B,54118.625,54118.66667,Spencer,2006B068
2006B,54119.16667,54119.41597,Engineering,2006B999
2006B,54119.41597,54119.66667,Trafton,2006B079
2006B,54119.625,54119.75,Spencer,2006B068
2006B,54120.16667,54120.66667,Tokunaga,2006B005
2006B,54121.16667,54121.66667,Hardersen,2006B025
2006B,54122.16667,54122.625,Hardersen,2006B025
2006B,54123.16667,54123.625,Hardersen,2006B025
2006B,54123.625,54123.66667,Spencer,2006B068
2006B,54124.16667,54124.66667,Peterson,2006B003
2006B,54124.625,54124.66667,Spencer,2006B068
2006B,54125.16667,54125.66667,Peterson,2006B003
2006B,54126.16667,54126.625,Peterson,2006B003
2006B,54126.72917,54126.83333,Spencer,2006B068
2006B,54126.875,54126.04167,Dello,2006B987
2006B,54127.16667,54127.66667,Ward,2006B044
2006B,54127.625,54127.66667,Spencer,2006B068
2006B,54127.875,54127.04167,Dello,2006B987
2006B,54128.16667,54128.625,Ward,2006B044
2006B,54129.16667,54129.66667,Ward,2006B044
2006B,54129.625,54129.66667,Spencer,2006B068
2006B,54130.16667,54130.41597,Engineering,2006B999
2006B,54130.41597,54130.66667,Orton,2006B029
2006B,54131.16667,54131.41597,Engineering,2006B999
2006B,54131.41597,54131.66667,Orton,2006B029
2006B,54131.66667,54131.91667,Orton,2006B986
2007A,54132.25,54132.75,Chanover,2007A058
2007A,54132.66667,54132.83333,Orton,2007A986
2007A,54133.25,54133.75,Chanover,2007A058
2007A,54134.16667,54134.42708,Gordon,2007A066
2007A,54135.16667,54135.42708,Gordon,2007A066
2007A,54135.42708,54135.44097,Schaller,2007A047
2007A,54135.44097,54135.66667,Stallard,2007A054
2007A,54136.16667,54136.42708,Gordon,2007A066
2007A,54136.42708,54136.44097,Schaller,2007A047
2007A,54136.44097,54136.66667,Stallard,2007A054
2007A,54137.16667,54137.44097,Gibb,2007A001
2007A,54137.42708,54137.44097,Schaller,2007A047
2007A,54137.44097,54137.66667,Stallard,2007A054
2007A,54138.16667,54138.44097,Gibb,2007A001
2007A,54138.44097,54138.66667,Stallard,2007A054
2007A,54139.16667,54139.44097,Gibb,2007A001
2007A,54139.44097,54139.66667,Stallard,2007A054
2007A,54140.16667,54140.52083,Gibb,2007A001
2007A,54140.44097,54140.66667,Stallard,2007A054
2007A,54141.16667,54141.52083,Gibb,2007A001
2007A,54141.52083,54141.66667,Potter,2007A008
2007A,54142.16667,54142.52083,Gibb,2007A001
2007A,54142.52083,54142.66667,Potter,2007A008
2007A,54143.16667,54143.41597,Simon,2007A003
2007A,54143.41597,54143.43056,Schaller,2007A047
2007A,54143.52083,54143.66667,Potter,2007A008
2007A,54144.16667,54144.41597,Simon,2007A003
2007A,54144.41597,54144.43056,Schaller,2007A047
2007A,54144.43056,54144.66667,Lynch,2007A016
2007A,54145.16667,54145.41597,Liebert,2007A082
2007A,54145.41597,54145.43056,Schaller,2007A047
2007A,54145.43056,54145.66667,Lynch,2007A016
2007A,54146.16667,54146.41597,Liebert,2007A082
2007A,54146.41597,54146.43056,Schaller,2007A047
2007A,54146.43056,54146.66667,Liebert,2007A082
2007A,54147.16667,54147.41597,Volquardsen,2007A053
2007A,54147.41597,54147.43056,Schaller,2007A047
2007A,54147.43056,54147.66667,Liebert,2007A082
2007A,54148.16667,54148.41597,Volquardsen,2007A053
2007A,54148.41597,54148.43056,Schaller,2007A047
2007A,54148.43056,54148.66667,Volquardsen,2007A053
2007A,54149.16667,54149.41597,Bjorkman,2007A028
2007A,54149.41597,54149.43056,Schaller,2007A047
2007A,54149.43056,54149.66667,Volquardsen,2007A053
2007A,54149.73958,54149.83333,Spencer,2007A049
2007A,54150.16667,54150.50694,Luhman,2007A004
2007A,54150.43056,54150.66667,Bjorkman,2007A028
2007A,54151.16667,54151.4375,Hora,2007A036
2007A,54151.50694,54151.52083,Schaller,2007A047
2007A,54151.52083,54151.70833,Spencer,2007A049
2007A,54152.16667,54152.41597,Aspin,2007A023
2007A,54152.41597,54152.43056,Schaller,2007A047
2007A,54152.4375,54152.45139,Schaller,2007A047
2007A,54152.45139,54152.66667,Rivkin,2007A044
2007A,54153.16667,54153.41597,Binzel,2007A024
2007A,54153.41597,54153.43056,Schaller,2007A047
2007A,54153.43056,54153.66667,Rivkin,2007A044
2007A,54154.16667,54154.41597,Looper,2007A037
2007A,54154.41597,54154.43056,Schaller,2007A047
2007A,54154.43056,54154.625,Binzel,2007A024
2007A,54154.625,54154.66667,Spencer,2007A049
2007A,54155.16667,54155.375,Sitko,2007A048
2007A,54155.375,54155.38889,Schaller,2007A047
2007A,54155.38889,54155.66667,Stallard,2007A054
2007A,54155.43056,54155.625,Looper,2007A037
2007A,54155.625,54155.83333,Orton,2007A020
2007A,54156.16667,54156.375,Sitko,2007A048
2007A,54156.375,54156.38889,Schaller,2007A047
2007A,54156.38889,54156.60417,Stallard,2007A054
2007A,54156.8125,54156.88542,Spencer,2007A049
2007A,54157.16667,54157.375,Sitko,2007A048
2007A,54157.375,54157.38889,Schaller,2007A047
2007A,54157.38889,54157.58333,Stallard,2007A054
2007A,54157.60417,54157.66667,Spencer,2007A049
2007A,54157.66667,54157.83333,Orton,2007A020
2007A,54158.16667,54158.375,Sitko,2007A048
2007A,54158.38889,54158.60417,Stallard,2007A054
2007A,54158.58333,54158.78125,Spencer,2007A049
2007A,54159.16667,54159.375,Connelley,2007A029
2007A,54159.375,54159.38889,Schaller,2007A047
2007A,54159.38889,54159.5625,Stallard,2007A054
2007A,54159.60417,54159.66667,Spencer,2007A049
2007A,54159.66667,54159.83333,Orton,2007A020
2007A,54160.16667,54160.375,Connelley,2007A029
2007A,54160.375,54160.38889,Schaller,2007A047
2007A,54160.38889,54160.60417,Stallard,2007A054
2007A,54160.5625,54160.66667,Orton,2007A020
2007A,54160.66667,54160.77083,Bjoraker,2007A056
2007A,54161.16667,54161.375,Connelley,2007A029
2007A,54161.375,54161.38889,Schaller,2007A047
2007A,54161.38889,54161.66667,Stallard,2007A054
2007A,54161.60417,54161.66667,Spencer,2007A049
2007A,54162.16667,54162.5625,Orton,2007A021
2007A,54163.16667,54163.41597,Kilic,2007A009
2007A,54163.41597,54163.43056,Schaller,2007A047
2007A,54163.5625,54163.66667,Stallard,2007A054
2007A,54164.16667,54164.41597,Kilic,2007A009
2007A,54164.41597,54164.43056,Schaller,2007A047
2007A,54164.43056,54164.66667,Kilic,2007A009
2007A,54165.16667,54165.44444,Chanover,2007A058
2007A,54165.43056,54165.66667,Kilic,2007A009
2007A,54165.66667,54165.78125,Spencer,2007A049
2007A,54166.16667,54166.44444,Chanover,2007A058
2007A,54166.44444,54166.45833,Schaller,2007A047
2007A,54166.45833,54166.66667,Aoki,2007A065
2007A,54167.16667,54167.45833,Chanover,2007A058
2007A,54167.44444,54167.45833,Schaller,2007A047
2007A,54167.45833,54167.66667,Aoki,2007A065
2007A,54168.16667,54168.45833,Chanover,2007A058
2007A,54168.45833,54168.66667,Aoki,2007A065
2007A,54169.16667,54169.375,Reddy,2007A042
2007A,54169.375,54169.38889,Schaller,2007A047
2007A,54169.38889,54169.66667,Aoki,2007A065
2007A,54169.45833,54169.66667,Aoki,2007A065
2007A,54170.16667,54170.41597,Birlan,2007A026
2007A,54170.41597,54170.43056,Schaller,2007A047
2007A,54171.16667,54171.41597,Birlan,2007A026
2007A,54171.41597,54171.43056,Schaller,2007A047
2007A,54171.43056,54171.66667,Birlan,2007A026
2007A,54172.16667,54172.41597,Looper,2007A995
2007A,54172.41597,54172.43056,Schaller,2007A047
2007A,54172.43056,54172.66667,Birlan,2007A026
2007A,54173.16667,54173.51042,Looper,2007A995
2007A,54173.43056,54173.66667,Lynch,2007A016
2007A,54174.16667,54174.41597,Engineering,2007A999
2007A,54174.41597,54174.43056,Schaller,2007A047
2007A,54174.51042,54174.66667,Spencer,2007A049
2007A,54175.16667,54175.5625,Engineering,2007A999
2007A,54175.43056,54175.66667,Lynch,2007A016
2007A,54176.16667,54176.5625,Engineering,2007A999
2007A,54176.5625,54176.6875,Orton,2007A020
2007A,54177.16667,54177.33333,Bjorkman,2007A028
2007A,54177.33333,54177.34722,Schaller,2007A047
2007A,54177.34722,54177.66667,Bjorkman,2007A028
2007A,54177.5625,54177.6875,Orton,2007A020
2007A,54178.16667,54178.33333,Volquardsen,2007A053
2007A,54178.33333,54178.34722,Schaller,2007A047
2007A,54178.34722,54178.66667,Volquardsen,2007A053
2007A,54178.66667,54178.72917,Orton,2007A996
2007A,54179.16667,54179.33333,Smith,2007A073
2007A,54179.33333,54179.34722,Schaller,2007A047
2007A,54179.34722,54179.66667,Smith,2007A073
2007A,54180.16667,54180.33333,Smith,2007A073
2007A,54180.33333,54180.34722,Schaller,2007A047
2007A,54180.34722,54180.66667,Smith,2007A073
2007A,54181.16667,54181.33333,Binzel,2007A024
2007A,54181.33333,54181.34722,Schaller,2007A047
2007A,54181.34722,54181.66667,Binzel,2007A024
2007A,54182.16667,54182.41597,Retherford,2007A043
2007A,54182.41597,54182.66667,Deen,2007A018
2007A,54183.16667,54183.41597,Retherford,2007A043
2007A,54183.41597,54183.66667,Deen,2007A018
2007A,54184.16667,54184.41597,Retherford,2007A043
2007A,54184.41597,54184.66667,Deen,2007A018
2007A,54185.16667,54185.41597,Retherford,2007A043
2007A,54185.41597,54185.66667,Deen,2007A018
2007A,54186.16667,54186.29167,Emery,2007A007
2007A,54186.29167,54186.30556,Schaller,2007A047
2007A,54186.30556,54186.66667,Emery,2007A007
2007A,54187.16667,54187.29167,Emery,2007A007
2007A,54187.29167,54187.30556,Schaller,2007A047
2007A,54187.30556,54187.66667,Emery,2007A007
2007A,54188.16667,54188.29167,Emery,2007A007
2007A,54188.29167,54188.30556,Schaller,2007A047
2007A,54188.30556,54188.66667,Emery,2007A007
2007A,54189.16667,54189.42708,Rivkin,2007A045
2007A,54190.16667,54190.41597,Reddy,2007A998
2007A,54190.41597,54190.66667,Rivkin,2007A044
2007A,54190.42708,54190.54167,Spencer,2007A049
2007A,54190.54167,54190.66667,Rivkin,2007A045
2007A,54191.16667,54191.29167,Rivkin,2007A045
2007A,54191.29167,54191.30556,Schaller,2007A047
2007A,54191.30556,54191.41597,Rivkin,2007A045
2007A,54191.41597,54191.66667,Rivkin,2007A044
2007A,54192.16667,54192.66667,Engineering,2007A999
2007A,54193.16667,54193.375,Orton,2007A021
2007A,54193.375,54193.54167,Reddy,2007A042
2007A,54194.29167,54194.375,Orton,2007A021
2007A,54194.375,54194.54167,Reddy,2007A042
2007A,54194.54167,54194.66667,Roe,2007A046
2007A,54195.16667,54195.33333,Yang,2007A055
2007A,54195.33333,54195.34722,Schaller,2007A047
2007A,54195.34722,54195.66667,Yang,2007A055
2007A,54195.54167,54195.66667,Roe,2007A046
2007A,54195.66667,54195.79167,Orton,2007A021
2007A,54196.16667,54196.33333,Yang,2007A055
2007A,54196.33333,54196.34722,Schaller,2007A047
2007A,54196.34722,54196.66667,Yang,2007A055
2007A,54197.16667,54197.29167,Farihi,2007A076
2007A,54197.29167,54197.30556,Schaller,2007A047
2007A,54197.30556,54197.66667,Farihi,2007A076
2007A,54198.16667,54198.29167,Farihi,2007A076
2007A,54198.29167,54198.30556,Schaller,2007A047
2007A,54198.30556,54198.66667,Farihi,2007A076
2007A,54199.16667,54199.29167,Farihi,2007A076
2007A,54199.29167,54199.30556,Schaller,2007A047
2007A,54199.30556,54199.66667,Farihi,2007A076
2007A,54200.16667,54200.41597,Greathouse,2007A031
2007A,54200.41597,54200.66667,Greathouse,2007A032
2007A,54201.08333,54201.16667,Crisp,2007A075
2007A,54201.16667,54201.41597,Greathouse,2007A031
2007A,54201.41597,54201.66667,Greathouse,2007A032
2007A,54202.08333,54202.16667,Crisp,2007A075
2007A,54202.16667,54202.5,Greathouse,2007A031
2007A,54203.08333,54203.16667,Crisp,2007A075
2007A,54203.16667,54203.5,Greathouse,2007A031
2007A,54203.5,54203.66667,Spencer,2007A050
2007A,54204.08333,54204.16667,Crisp,2007A075
2007A,54204.16667,54204.5,Greathouse,2007A031
2007A,54204.5,54204.66667,Spencer,2007A050
2007A,54205.16667,54205.5,Greathouse,2007A031
2007A,54205.5,54205.66667,Spencer,2007A050
2007A,54206.16667,54206.41597,Hinkle,2007A067
2007A,54206.41597,54206.66667,Harper,2007A012
2007A,54206.5,54206.66667,Spencer,2007A050
2007A,54206.66667,54206.79167,Greathouse,2007A033
2007A,54207.16667,54207.41597,Greathouse,2007A031
2007A,54207.41597,54207.66667,Harper,2007A012
2007A,54207.66667,54207.79167,Greathouse,2007A033
2007A,54208.16667,54208.41597,Greathouse,2007A031
2007A,54208.41597,54208.66667,Harper,2007A012
2007A,54208.66667,54208.79167,Greathouse,2007A033
2007A,54209.16667,54209.41597,Retherford,2007A043
2007A,54209.41597,54209.66667,Bjoraker,2007A056
2007A,54210.16667,54210.41597,Retherford,2007A043
2007A,54210.41597,54210.66667,Bjoraker,2007A056
2007A,54211.16667,54211.41597,Retherford,2007A043
2007A,54211.41597,54211.66667,Bjoraker,2007A056
2007A,54212.16667,54212.41597,Retherford,2007A043
2007A,54212.41597,54212.53125,Spencer,2007A049
2007A,54213.16667,54213.25,Binzel,2007A024
2007A,54213.25,54213.26389,Schaller,2007A047
2007A,54213.26389,54213.66667,Binzel,2007A024
2007A,54213.53125,54213.66667,Bjoraker,2007A056
2007A,54214.16667,54214.41597,Engineering,2007A999
2007A,54214.41597,54214.66667,Simon,2007A003
2007A,54215.16667,54215.41597,Stallard,2007A989
2007A,54215.41597,54215.66667,Simon,2007A003
2007A,54216.16667,54216.41597,Lacy,2007A010
2007A,54216.41597,54216.66667,Sykes,2007A079
2007A,54217.16667,54217.25,Bjorkman,2007A028
2007A,54217.25,54217.26389,Schaller,2007A047
2007A,54217.26389,54217.66667,Bjorkman,2007A028
2007A,54218.16667,54218.25,Rivkin,2007A044
2007A,54218.25,54218.26389,Schaller,2007A047
2007A,54218.26389,54218.41597,Rivkin,2007A044
2007A,54218.41597,54218.66667,Hora,2007A036
2007A,54219.16667,54219.25,Rivkin,2007A044
2007A,54219.25,54219.26389,Schaller,2007A047
2007A,54219.26389,54219.41597,Rivkin,2007A044
2007A,54219.41597,54219.66667,Lynch,2007A016
2007A,54220.16667,54220.41597,Engineering,2007A999
2007A,54220.41597,54220.66667,Sitko,2007A048
2007A,54221.16667,54221.41597,Engineering,2007A999
2007A,54221.41597,54221.66667,Sitko,2007A048
2007A,54222.16667,54222.41597,Engineering,2007A999
2007A,54222.41597,54222.66667,Sitko,2007A048
2007A,54223.16667,54223.41597,Fortney,2007A994
2007A,54223.41597,54223.66667,Sitko,2007A048
2007A,54224.16667,54224.45833,Orton,2007A021
2007A,54225.16667,54225.25,Smith,2007A072
2007A,54225.25,54225.26389,Schaller,2007A047
2007A,54225.26389,54225.41597,Smith,2007A072
2007A,54225.41597,54225.66667,Morris,2007A022
2007A,54225.45833,54225.66667,Sykes,2007A079
2007A,54226.16667,54226.25,Smith,2007A072
2007A,54226.25,54226.26389,Schaller,2007A047
2007A,54226.26389,54226.41597,Smith,2007A072
2007A,54226.41597,54226.60417,Morris,2007A022
2007A,54227.16667,54227.25,Smith,2007A072
2007A,54227.25,54227.26389,Schaller,2007A047
2007A,54227.26389,54227.41597,Smith,2007A072
2007A,54227.41597,54227.66667,Morris,2007A022
2007A,54227.60417,54227.67708,Spencer,2007A049
2007A,54228.16667,54228.25,Smith,2007A072
2007A,54228.25,54228.26389,Schaller,2007A047
2007A,54228.26389,54228.41597,Smith,2007A072
2007A,54228.41597,54228.66667,Morris,2007A022
2007A,54229.16667,54229.66667,Engineering,2007A999
2007A,54230.16667,54230.66667,Engineering,2007A999
2007A,54231.16667,54231.66667,Engineering,2007A999
2007A,54233.16667,54233.66667,Engineering,2007A999
2007A,54234.16667,54234.66667,Engineering,2007A999
2007A,54235.16667,54235.44792,Connelley,2007A993
2007A,54236.16667,54236.41597,Engineering,2007A999
2007A,54236.41597,54236.66667,Sykes,2007A079
2007A,54236.44792,54236.52083,Spencer,2007A049
2007A,54236.52083,54236.66667,Connelley,2007A993
2007A,54237.16667,54237.66667,Kostiuk,2007A017
2007A,54238.16667,54238.66667,Kostiuk,2007A017
2007A,54238.91667,54238.16667,Fast,2007A014
2007A,54239.16667,54239.66667,Kostiuk,2007A017
2007A,54239.91667,54239.16667,Fast,2007A014
2007A,54240.16667,54240.66667,Kostiuk,2007A017
2007A,54240.91667,54240.16667,Fast,2007A014
2007A,54241.16667,54241.66667,Kostiuk,2007A017
2007A,54241.91667,54241.16667,Fast,2007A014
2007A,54242.16667,54242.18056,Fast,2007A014
2007A,54242.18056,54242.66667,Kostiuk,2007A017
2007A,54243.16667,54243.18056,Schaller,2007A047
2007A,54243.18056,54243.66667,Kelley,2007A060
2007A,54244.16667,54244.18056,Schaller,2007A047
2007A,54244.18056,54244.41597,Kelley,2007A060
2007A,54244.41597,54244.66667,Fortney,2007A059
2007A,54245.16667,54245.29167,Iwagami,2007A077
2007A,54245.29167,54245.54167,Sykes,2007A079
2007A,54246.16667,54246.29167,Iwagami,2007A077
2007A,54246.29167,54246.54167,Sykes,2007A079
2007A,54246.54167,54246.66667,Kelley,2007A060
2007A,54247.16667,54247.29167,Iwagami,2007A077
2007A,54247.29167,54247.54167,Sykes,2007A079
2007A,54247.54167,54247.66667,Kelley,2007A060
2007A,54248.16667,54248.29167,Iwagami,2007A077
2007A,54248.16667,54248.29167,Iwagami,2007A077
2007A,54248.29167,54248.41597,Kelley,2007A060
2007A,54248.41597,54248.54167,Orton,2007A020
2007A,54248.41597,54248.54167,Orton,2007A020
2007A,54248.54167,54248.66667,Kelley,2007A060
2007A,54250.16667,54250.29167,Iwagami,2007A077
2007A,54250.29167,54250.41597,Kelley,2007A060
2007A,54250.41597,54250.66667,Lynch,2007A016
2007A,54250.54167,54250.66667,Kelley,2007A060
2007A,54251.16667,54251.29167,Iwagami,2007A077
2007A,54251.29167,54251.41597,Kelley,2007A060
2007A,54251.41597,54251.66667,Lynch,2007A016
2007A,54252.125,54252.20833,Vernazza,2007A013
2007A,54252.20833,54252.66667,Stallard,2007A054
2007A,54253.125,54253.20833,Vernazza,2007A013
2007A,54253.20833,54253.66667,Stallard,2007A054
2007A,54254.16667,54254.29167,Slanger,2007A071
2007A,54254.29167,54254.66667,Allers,2007A074
2007A,54255.16667,54255.29167,Slanger,2007A071
2007A,54255.29167,54255.66667,Allers,2007A074
2007A,54256.29167,54256.66667,Allers,2007A074
2007A,54256.91667,54256.29167,Slanger,2007A071
2007A,54257.16667,54257.29167,Slanger,2007A071
2007A,54257.29167,54257.66667,Allers,2007A074
2007A,54258.16667,54258.29167,Slanger,2007A071
2007A,54258.29167,54258.30556,Schaller,2007A047
2007A,54258.30556,54258.66667,Froning,2007A030
2007A,54259.16667,54259.18056,Schaller,2007A047
2007A,54259.18056,54259.66667,Froning,2007A030
2007A,54260.16667,54260.18056,Schaller,2007A047
2007A,54260.18056,54260.66667,Froning,2007A030
2007A,54261,54261.29167,Orton,2007A021
2007A,54261.29167,54261.45833,Reddy,2007A042
2007A,54262.16667,54262.41597,Sykes,2007A079
2007A,54262.41597,54262.66667,Rivkin,2007A044
2007A,54262.45833,54262.66667,Rivkin,2007A044
2007A,54263.16667,54263.29167,Marcq,2007A038
2007A,54263.29167,54263.66667,Fortney,2007A059
2007A,54264.16667,54264.29167,Marcq,2007A038
2007A,54264.29167,54264.66667,Tokunaga,2007A051
2007A,54265.16667,54265.29167,Marcq,2007A038
2007A,54265.29167,54265.66667,Volquardsen,2007A053
2007A,54266.16667,54266.29167,Marcq,2007A038
2007A,54266.29167,54266.66667,Reach,2007A070
2007A,54267.16667,54267.18056,Schaller,2007A047
2007A,54267.18056,54267.66667,Reach,2007A070
2007A,54268.16667,54268.18056,Schaller,2007A047
2007A,54268.18056,54268.66667,Lacy,2007A078
2007A,54269.16667,54269.18056,Schaller,2007A047
2007A,54269.18056,54269.66667,Lacy,2007A078
2007A,54270.16667,54270.18056,Schaller,2007A047
2007A,54270.18056,54270.66667,Lacy,2007A078
2007A,54271.16667,54271.18056,Schaller,2007A047
2007A,54271.18056,54271.41597,Lynch,2007A016
2007A,54272.16667,54272.18056,Schaller,2007A047
2007A,54272.18056,54272.41597,Lynch,2007A016
2007A,54273.16667,54273.41597,Engineering,2007A999
2007A,54274.16667,54274.29167,Engineering,2007A999
2007A,54274.29167,54274.41597,Orton,2007A992
2007A,54275.16667,54275.41597,Engineering,2007A999
2007A,54275.45833,54275.54167,Spencer,2007A049
2007A,54276.16667,54276.41597,Abell,2007A991
2007A,54277.16667,54277.29167,Engineering,2007A999
2007A,54277.29167,54277.41597,Abell,2007A991
2007A,54278.16667,54278.29167,Engineering,2007A999
2007A,54278.29167,54278.41597,Abell,2007A991
2007A,54279.16667,54279.66667,Megeath,2007A080
2007A,54280.16667,54280.66667,Megeath,2007A080
2007A,54281.16667,54281.66667,Megeath,2007A080
2007A,54282.16667,54282.66667,Megeath,2007A080
2007A,54283.16667,54283.35417,Kirkpatrick,2007A990
2007A,54283.35417,54283.66667,Fortney,2007A059
2007A,54284.16667,54284.66667,Kirkpatrick,2007A990
2007A,54285.16667,54285.41597,Sykes,2007A079
2007A,54285.41597,54285.66667,Lynch,2007A016
2007A,54286.16667,54286.66667,Sitko,2007A048
2007A,54287.16667,54287.66667,Sitko,2007A048
2007A,54288.16667,54288.66667,Sitko,2007A048
2007A,54289.16667,54289.66667,Sitko,2007A048
2007A,54290.08333,54290.23958,Mitsuyama,2007A069
2007A,54290.23958,54290.66667,Jackson,2007A997
2007A,54291.08333,54291.23958,Mitsuyama,2007A069
2007A,54291.23958,54291.66667,Jackson,2007A997
2007A,54292.08333,54292.23958,Mitsuyama,2007A069
2007A,54292.23958,54292.66667,Connelley,2007A029
2007A,54293.08333,54293.23958,Mitsuyama,2007A069
2007A,54293.23958,54293.66667,Connelley,2007A029
2007A,54294.20833,54294.66667,Connelley,2007A029
2007A,54294.85417,54294.20833,Ohtsuki,2007A061
2007A,54295.20833,54295.66667,Smith,2007A073
2007A,54295.85417,54295.20833,Ohtsuki,2007A061
2007A,54296.20833,54296.66667,Smith,2007A073
2007A,54296.85417,54296.20833,Ohtsuki,2007A061
2007A,54297.16667,54297.66667,Bjorkman,2007A028
2007A,54298.16667,54298.66667,Bjorkman,2007A028
2007A,54299.16667,54299.27083,Roe,2007A046
2007A,54299.27083,54299.66667,Hora,2007A036
2007A,54300.16667,54300.66667,Tokunaga,2007A051
2007A,54300.20833,54300.66667,Looper,2007A037
2007A,54300.20833,54300.66667,Osten,2007A062
2007A,54300.22222,54300.66667,Giveon,2007A011
