#
# Generated by M. Cushing, Sun Sep  4 19:56:38 2022
#
# Line list for the ShortXD mode of iSHELL.
#
#=======================================================================================================
#Order   | Vacuum Wavelength   | Species   | Left Window   | Right Window   | Fit Type   | Fit N Terms
#        | (microns)           |           | (Angstroms)   | (Angstroms)    |            |            
#=======================================================================================================
   6     |   1.1444965         |    Ar     |  40.0         |  20.0          | G          | 5          
   6     |   1.1470685         |    Ar     |  15.0         |  10.0          | G          | 5          
   6     |   1.1491253         |    Ar     |  15.0         |  50.0          | G          | 5          
   6     |   1.1671903         |    Ar     |  80.0         |  30.0          | G          | 5          
   6     |   1.1722695         |    Ar     |  25.0         |   5.0          | G          | 5          
   6     |   1.2115639         |    Ar     |  40.0         |  10.0          | G          | 5          
   6     |   1.2346769         |    Ar     | 100.0         |   8.0          | G          | 5          
   6     |   1.2359522         |    Ar     |   5.0         |  30.0          | G          | 5          
   6     |   1.2406221         |    Ar     |  30.0         |  20.0          | G          | 5          
   6     |   1.2442724         |    Ar     |  25.0         |  10.0          | G          | 5          
   6     |   1.2491079         |    Ar     |  20.0         |  30.0          | G          | 5          
   6     |   1.2705755         |    Ar     |  60.0         |  20.0          | G          | 5          
   6     |   1.2736901         |    Ar     |  20.0         |   8.0          | G          | 5          
   6     |   1.2749719         |    Ar     |   8.0         |  40.0          | G          | 5          
   7     |  0.79503620         |    Ar     |  80.0         |  40.0          | G          | 5          
   7     |  0.80083582         |    Ar     |  40.0         |   5.0          | G          | 5          
   7     |  0.80169894         |    Ar     |   5.0         |  60.0          | G          | 5          
   7     |  0.81059204         |    Ar     |  60.0         |   5.0          | G          | 5          
   7     |  0.81175423         |    Ar     |   5.0         |  80.0          | G          | 5          
   7     |  0.82667932         |    Ar     | 100.0         | 100.0          | G          | 5          
   7     |  0.84105192         |    Ar     | 100.0         |   8.0          | G          | 5          
   7     |  0.84269624         |    Ar     |   8.0         |  70.0          | G          | 5          
   7     |  0.85237824         |    Ar     |  70.0         |  80.0          | G          | 5          
   7     |  0.86703238         |    Ar     |  40.0         |  80.0          | G          | 5          
   7     |  0.91254706         |    Ar     | 100.0         |  60.0          | G          | 5          
   7     |  0.91971613         |    Ar     |  20.0         |  10.0          | G          | 5          
   7     |  0.92270294         |    Ar     |  20.0         |  50.0          | G          | 5          
   7     |  0.92940816         |    Ar     |  30.0         |  30.0          | G          | 5          
   7     |  0.93567845         |    Ar     |  30.0         |  30.0          | G          | 5          
   7     |  0.96604346         |    Ar     |  80.0         |  80.0          | G          | 5          
   7     |  0.97871851         |    Ar     |  80.0         |  80.0          | G          | 5          
   7     |   1.0883921         |    Ar     |  80.0         |  50.0          | G          | 5          
   7     |   1.0953725         |    Ar     |  20.0         |  20.0          | G          | 5          
   8     |  0.71490112         |    Ar     |  50.0         |  40.0          | G          | 5          
   8     |  0.72749396         |    Ar     |  70.0         |  70.0          | G          | 5          
   8     |  0.75059345         |    Ar     |  70.0         |   5.0          | G          | 5          
   8     |  0.75167206         |    Ar     |   5.0         |  70.0          | G          | 5          
   8     |  0.76372072         |    Ar     |  70.0         |  70.0          | G          | 5          
   8     |  0.79503620         |    Ar     |  70.0         |  40.0          | G          | 5          
