#
# Generated by M. Cushing, Wed Oct 23 10:59:12 2024
#
# Line list for the LXD_long mode of uSpeX.
#
#=======================================================================================================
#Order   | Vacuum Wavelength   | Species   | Left Window   | Right Window   | Fit Type   | Fit N Terms
#        | (microns)           |           | (Angstroms)   | (Angstroms)    |            |            
#=======================================================================================================
   4     |     5.08387         |  Sky      | 180.0         | 100.0          | G          | 5          
   4     |     5.09897         |  Sky      |  75.0         |  75.0          | G          | 5          
   5     |   4.0433124         |    Ar     | 120.0         | 120.0          | G          | 5          
   5     |   3.9909111         |    Ar     | 120.0         | 120.0          | G          | 5          
   5     |   3.8120725         |    Ar     | 120.0         | 120.0          | G          | 5          
   5     |   3.7085908         |    Ar     | 120.0         | 120.0          | G          | 5          
   5     |   3.6491996         |    Ar     | 100.0         | 100.0          | G          | 5          
   5     |   3.6220848         |    Ar     | 100.0         |  70.0          | G          | 5          
   6     |     3.36853         |  Sky      |  40.0         |  20.0          | G          | 5          
   6     |     3.08161         |  Sky      |  50.0         |  40.0          | G          | 5          
   6     |     3.13966         |  Sky      |  60.0         |  40.0          | G          | 5          
   6     |     3.14648         |  Sky      |  50.0         |  65.0          | G          | 5          
   6     |     3.23064         |  Sky      |  35.0         |  70.0          | G          | 5          
   6     |     3.27127         |  Sky      |  25.0         |  60.0          | G          | 5          
   6     |     3.28018         |  Sky      |  50.0         |  70.0          | G          | 5          
   6     |     3.34612         |  Sky      |  30.0         |  35.0          | G          | 5          
   6     |     3.38033         |  Sky      |  25.0         |  40.0          | G          | 5          
   6     |     3.39207         |  Sky      |  50.0         |  80.0          | G          | 5          
   6     |     3.40409         |  Sky      | 100.0         |  20.0          | G          | 5          
   6     |     3.41620         |  Sky      |  30.0         |  50.0          | G          | 5          
   6     |     3.44064         |  Sky      |  50.0         |  50.0          | G          | 5          
   6     |     3.45354         |  Sky      |  80.0         |  80.0          | G          | 5          
   6     |     3.46592         |  Sky      |  70.0         |  50.0          | G          | 5          
   7     |   2.7233027         |    Ar     |  60.0         |  90.0          | G          | 5          
   7     |   2.7793508         |    Ar     | 100.0         | 100.0          | G          | 5          
   7     |   2.8202418         |    Ar     | 100.0         |  25.0          | G          | 5          
   7     |   2.8245953         |    Ar     |  25.0         |  60.0          | G          | 5          
   7     |   2.8321769         |    Ar     |  50.0         | 100.0          | G          | 5          
   7     |   2.8505731         |    Ar     | 100.0         |  90.0          | G          | 5          
   7     |   2.8620233         |    Ar     |  80.0         |  60.0          | G          | 5          
   7     |   2.8782931         |    Ar     |  60.0         |  45.0          | G          | 5          
